working_hours,age,education,hourly_wage,mother_edu,father_edu,number_kids_under6,number_kids_6to18
4950,35,12,0.1616,10,10,0,2
4210,46,12,2.3753,3,3,0,0
3686,32,14,0.5426,12,12,0,0
3640,58,12,1.0989,7,3,0,0
3533,38,15,5.0948,12,7,2,2
3225,54,16,3.0416,12,12,0,0
3120,41,12,1.7821,7,3,0,0
3087,49,17,8.4224,12,12,0,0
3000,33,12,1.1217,10,10,1,2
3000,51,14,1,12,12,0,0
2750,37,16,6,12,7,0,0
2646,39,11,2.3896,7,7,0,1
2640,51,12,2.2727,7,7,0,0
2581,32,13,1.7435,14,12,0,2
2540,41,8,2.4484,7,12,0,1
2500,40,14,4.4,14,3,0,3
2490,46,12,3.6948,7,7,0,0
2480,39,10,2.6331,7,7,1,5
2450,40,12,5.3061,7,7,0,1
2419,30,10,3.3072,7,7,0,1
2340,36,10,0.1282,10,7,1,2
2318,47,16,4.0984,16,16,0,1
2317,31,12,2.8054,10,10,0,1
2312,55,14,4.599,17,7,0,0
2272,37,11,1.5845,10,10,0,0
2261,44,13,4.8651,12,7,0,1
2220,51,12,4.0541,16,7,0,0
2215,42,16,3.5052,10,16,0,2
2208,48,12,4.9819,12,14,0,1
2205,46,10,4.5351,10,3,0,1
2149,45,8,1.2564,7,7,0,3
2147,53,12,4.5645,12,12,0,0
2144,43,13,5.8675,7,7,0,2
2143,34,12,4.4797,10,10,1,1
2141,35,16,5.3713,7,7,0,0
2110,35,15,4.9763,7,7,0,2
2100,44,12,4.7986,7,,0,2
2100,59,13,3.0952,7,7,0,0
2090,43,16,3.445,14,10,0,0
2088,35,17,9.5785,12,17,0,0
2081,45,16,3.8068,12,12,0,3
2076,55,12,4.7688,7,7,0,0
2064,46,12,5.814,10,7,0,3
2058,44,12,3.4014,7,10,0,1
2058,38,12,4.0209,10,10,0,1
2058,41,11,2.931,12,12,0,0
2056,48,16,2.0161,14,16,0,2
2052,34,17,8.0409,17,17,0,0
2045,43,7,3.9609,7,7,0,3
2040,41,14,2.9412,7,10,0,0
2033,58,9,5.1648,7,9,0,0
2032,54,12,4.7421,14,7,0,0
2030,47,12,2.4631,7,7,0,0
2025,50,12,4.4444,7,12,0,0
2014,31,9,4.4687,10,3,0,3
2014,49,13,5.4126,7,14,0,1
2012,34,12,2.6839,7,7,0,2
2005,57,17,5.1352,16,12,0,0
2000,45,12,2,7,7,0,0
2000,46,11,4,7,7,0,0
2000,55,14,4.5,7,7,0,0
2000,59,10,1.25,7,7,0,0
2000,56,12,2.375,7,7,0,0
2000,34,12,2.9,7,7,0,0
2000,41,12,2.85,7,7,0,2
2000,54,6,2,7,7,0,0
2000,42,14,2.5,7,7,0,2
2000,32,12,2.6,10,7,0,2
2000,45,13,3.55,12,7,0,0
2000,45,12,6,7,10,0,2
2000,37,12,1.9,12,12,0,2
2000,46,14,3.75,14,14,0,1
1984,36,11,4.4859,7,3,1,3
1984,34,12,3.377,7,7,0,2
1984,37,12,4.2339,10,7,0,1
1984,39,9,2.3185,9,9,0,1
1984,45,12,4.5716,10,10,0,0
1984,40,12,3.6694,12,12,0,3
1980,31,9,2.5253,10,7,0,4
1980,35,12,4.5455,12,7,1,3
1980,43,12,3.5354,12,12,0,4
1976,34,10,1.2227,,10,0,0
1969,33,12,4.063,12,3,0,1
1960,36,10,4.0816,7,,0,3
1960,48,12,6.6327,7,7,0,1
1960,43,14,3.9286,7,7,0,1
1960,42,11,4.5918,14,7,0,1
1960,46,13,4.2347,7,9,0,1
1960,40,12,4.5408,12,12,0,1
1960,39,12,6.6327,12,12,0,1
1960,31,12,3.1633,12,12,0,1
1960,47,14,10.204,14,12,0,2
1955,31,12,2.1545,12,7,1,1
1952,51,14,5.6183,7,7,0,0
1952,32,12,5.123,12,7,0,2
1944,42,12,1.749,7,3,0,3
1944,49,12,2.572,7,7,0,2
1944,34,12,3.1728,10,7,0,1
1939,31,13,3.1975,7,3,0,2
1923,43,12,3.9002,7,7,0,0
1920,55,14,9.6354,7,7,0,0
1920,56,14,7.2146,7,7,0,0
1920,50,12,6.25,7,7,0,0
1920,55,6,1.9792,7,7,0,0
1920,38,10,2.6042,12,7,0,3
1920,48,12,4.6875,12,12,0,2
1912,32,12,3.1381,12,12,0,0
1910,41,11,2.5654,3,7,0,2
1904,32,12,4.7269,3,7,0,3
1904,36,12,4.7269,12,12,0,2
1900,30,12,2,12,7,0,3
1886,38,12,4.4433,7,10,0,1
1885,41,12,3.0769,7,7,0,3
1880,51,12,4.1489,7,7,0,0
1880,48,10,4.7872,7,7,0,0
1880,36,13,5.8511,12,10,0,2
1880,36,8,3.5931,12,12,0,0
1878,33,11,3.0277,7,7,0,2
1877,45,12,3.7294,10,10,0,0
1875,38,13,8.5333,10,12,0,1
1872,43,12,1.7163,12,10,0,1
1868,44,12,4.5503,16,7,0,1
1850,52,12,3.6757,10,10,0,0
1848,43,10,3.6797,7,7,0,1
1848,34,13,5.4113,12,12,0,1
1840,48,8,2.7174,7,7,0,0
1840,30,12,2.9891,7,7,0,0
1840,51,12,2.4457,7,14,0,1
1839,49,12,2.882,12,12,0,0
1838,49,12,4.8966,7,7,0,0
1832,44,12,5.4585,3,7,0,1
1830,31,16,4.0437,12,12,0,0
1825,47,12,3.5616,7,7,0,0
1823,43,12,4.3884,14,7,0,2
1823,36,12,6.5826,12,12,0,1
1820,33,15,2.4725,12,12,1,1
1809,58,12,6.6335,3,7,0,0
1803,32,14,2.4958,7,14,0,2
1800,50,12,2.9261,7,3,0,1
1800,47,12,3.3333,12,7,0,0
1799,47,10,3.6687,3,7,0,0
1791,52,14,6.8677,14,12,0,0
1785,50,12,3.4174,,,0,0
1771,53,14,1.1293,12,12,0,1
1760,33,12,3.4091,12,16,0,1
1750,40,10,2.5429,7,7,0,2
1740,35,12,6.3218,10,10,0,2
1738,45,12,5.3826,,,0,0
1729,33,12,5.7259,12,12,0,0
1728,42,16,5.787,12,14,0,3
1721,52,17,10.459,14,17,0,0
1720,48,16,5.2326,14,14,0,1
1720,49,14,1.7442,16,16,0,1
1715,49,12,4.0816,7,7,0,0
1715,45,12,3.7901,7,7,0,1
1715,49,12,9.3294,9,9,0,1
1688,32,17,10.249,12,12,0,1
1680,54,16,8.9286,14,7,0,0
1680,30,12,3.5714,12,10,0,0
1680,31,16,5.4167,12,10,1,1
1680,51,12,3.5714,7,14,0,1
1678,44,12,2.205,14,12,0,2
1670,54,12,2.2754,12,7,0,0
1664,50,12,1.2019,7,7,0,0
1663,43,12,4.3295,12,14,0,3
1656,30,12,1.3889,7,7,0,2
1640,38,12,3.6585,7,7,0,1
1632,38,12,2.3897,12,12,0,0
1621,50,17,6.4775,16,12,0,1
1610,32,12,3.354,12,7,1,0
1610,36,12,4.9689,12,17,0,3
1600,48,13,3.25,7,3,0,0
1600,39,12,4.6875,7,7,0,2
1600,39,12,2.1875,7,7,0,2
1600,40,12,3.75,12,7,0,1
1599,52,10,1.8762,7,3,0,0
1589,46,12,3.2096,12,12,0,0
1587,30,8,2.0164,3,3,1,5
1581,37,12,2.6565,7,12,0,1
1579,37,12,3.1666,12,7,0,3
1578,34,16,9.5057,12,17,1,1
1568,41,16,7.0153,7,7,0,0
1568,31,14,4.5918,12,14,1,2
1550,54,17,7.0968,10,17,0,0
1530,54,12,1.1111,7,7,0,0
1528,47,10,3.8613,7,12,0,0
1521,37,11,1.9724,7,7,0,3
1520,43,10,7.8947,12,9,0,1
1516,54,16,2.3747,12,7,0,1
1516,31,17,7.2559,12,12,1,0
1515,46,16,7.9208,12,10,0,4
1500,51,12,2.6,7,7,0,0
1500,47,17,4.8,10,12,0,1
1500,47,16,1.6667,14,14,0,1
1494,45,13,4.0161,10,10,0,1
1490,32,16,4.698,12,14,0,2
1486,40,16,7.4024,16,14,0,3
1458,48,12,2.1262,7,7,0,2
1456,36,17,5.4945,12,14,0,2
1450,47,12,2.4069,7,10,1,2
1446,49,12,4.2877,7,7,0,4
1440,47,17,9.8611,7,7,0,0
1440,35,12,2.7778,7,7,0,3
1440,37,16,8.3333,14,7,0,2
1440,54,17,8.3333,7,12,0,1
1428,52,12,1.7108,10,7,0,0
1413,39,12,1.4154,10,10,1,3
1410,30,12,4.9645,12,12,1,0
1404,35,13,3.5613,7,10,0,3
1400,43,12,3.2143,10,7,0,2
1400,45,17,7.1429,14,12,0,0
1388,36,12,2.8818,7,7,0,1
1376,32,12,5.0872,7,7,0,1
1376,38,12,2.907,7,7,0,1
1355,33,12,0.6642,12,7,0,3
1352,37,12,2.071,10,10,0,3
1350,37,8,1.7407,7,7,0,4
1348,34,9,2.2255,7,7,0,4
1336,44,9,2.6871,7,10,0,2
1330,36,17,6.7669,7,7,0,2
1327,48,12,2.6375,7,7,0,0
1324,35,12,7.5529,12,7,0,4
1316,30,17,10.638,16,17,0,0
1302,30,17,14.631,14,17,0,0
1300,31,13,2.7692,17,7,0,1
1280,49,11,0.5,7,7,0,0
1275,43,12,1.8824,7,7,0,3
1264,47,17,3.9557,10,17,0,0
1260,47,12,4.3651,7,10,0,0
1260,30,16,8.1746,16,14,1,0
1253,35,16,6.2275,16,16,0,2
1250,42,12,4,7,7,0,2
1250,34,12,1.6,12,16,0,4
1240,30,12,5.8065,10,7,0,1
1230,47,5,2.0325,7,12,0,0
1225,35,10,2.9388,10,10,0,3
1224,35,11,1.3472,16,10,0,3
1221,47,17,8.19,7,7,0,0
1220,38,14,4.0984,7,7,0,2
1216,45,12,2.7961,7,7,0,1
1207,48,17,11.848,7,12,0,1
1202,43,12,5.3935,7,7,0,3
1200,46,12,4.1167,7,7,0,0
1200,46,12,2.5,7,7,0,2
1176,47,12,3.2313,7,7,0,3
1176,45,16,0.3826,7,7,0,3
1174,58,12,2.5554,7,12,0,0
1173,46,12,2.2899,7,7,0,1
1170,44,14,0.1709,16,12,0,2
1170,39,13,0.2137,12,16,1,2
1158,34,17,6.0449,12,12,1,2
1158,46,17,5.532,14,17,0,1
1153,31,12,4.3365,7,10,0,1
1128,43,12,2.1277,7,7,0,2
1120,38,12,8.0357,7,3,0,0
1101,45,12,2.1798,14,12,1,2
1100,33,12,3.6364,7,7,1,0
1092,52,13,9.5971,10,7,0,0
1089,44,10,1.607,10,10,0,0
1080,31,12,1.8519,7,7,1,2
1080,32,10,2.2324,10,10,0,2
1080,32,17,8.6111,12,12,0,2
1052,46,14,4.5627,7,3,0,0
1040,50,11,1.5385,7,7,0,0
1040,38,12,0.9615,7,7,0,2
1030,43,17,5.3398,12,12,0,3
1020,54,12,7.8431,3,3,0,0
1008,43,12,2.9762,7,7,0,1
1000,46,9,2.7,7,7,0,2
1000,46,12,3,7,7,0,2
1000,49,12,3,7,7,0,1
1000,48,12,0.5,12,7,0,2
1000,32,12,1,12,7,0,3
997,43,12,2.2668,10,10,0,2
996,46,17,13.554,12,12,0,0
993,37,16,5.0352,12,16,0,2
989,39,11,2.1234,10,10,0,1
988,45,12,4.8583,7,3,0,1
980,54,12,5.6122,7,7,0,1
980,30,12,3.0612,12,7,1,0
975,44,17,15.385,3,3,0,1
960,36,14,6.25,7,7,1,0
952,46,15,5.2521,7,12,0,1
910,41,14,4.3956,16,12,0,2
900,36,12,1.3333,7,7,0,4
900,35,8,4.6667,10,7,0,4
900,59,10,2.3111,12,7,0,0
893,57,12,3.9194,9,9,0,0
868,45,15,5.53,14,12,0,1
860,52,13,3.2558,7,7,0,0
848,51,12,2.3585,7,7,0,1
846,43,14,3.9716,3,3,0,2
800,45,12,3.25,7,7,0,0
800,48,8,3.825,7,7,0,1
800,42,12,3.75,12,7,0,2
800,32,12,2.25,12,7,0,1
800,33,13,1.75,12,7,0,3
794,37,11,1.8892,12,3,0,3
784,53,9,1.2245,3,7,0,0
782,37,12,1.5345,12,7,0,1
780,36,12,1.641,7,7,1,2
780,32,12,1.9231,10,7,1,3
778,47,8,3.2134,12,12,0,0
772,41,12,3.886,12,12,0,2
760,39,11,4.2105,12,7,0,1
757,45,16,4.6235,12,7,0,1
740,42,17,4.4595,12,10,0,2
732,59,16,2.459,3,3,0,0
720,51,9,1.6264,7,7,0,0
716,52,8,3.4916,7,7,0,0
690,42,11,2.4638,10,3,0,1
690,34,12,1.1594,10,7,0,1
680,36,10,2.3118,7,7,0,5
675,37,12,2.6667,7,7,0,2
675,38,12,1.8578,7,7,0,3
660,53,12,3.6364,7,12,1,0
660,43,17,3.7879,16,14,0,2
651,54,9,2.1505,7,7,0,0
640,39,12,5.175,12,12,0,5
630,45,11,2.0635,7,7,0,1
610,49,11,4.0984,7,7,0,0
608,45,17,6.9901,10,14,0,2
608,34,10,8.2237,,,2,4
600,34,13,2.3333,12,12,0,2
584,32,13,6.8493,12,10,0,2
583,31,16,2.5729,14,16,1,2
576,34,12,3.4722,12,7,0,2
573,47,12,3.3159,10,7,0,1
561,54,13,2.7629,7,7,0,3
561,41,12,2.6738,10,9,0,1
550,40,12,2.3636,14,12,0,4
548,46,12,4.3066,16,12,0,3
547,41,12,0.819,12,7,0,3
537,44,13,1.676,10,10,0,1
532,47,12,5.6391,7,3,0,1
528,51,12,3.7879,7,7,0,2
526,38,17,8.5551,12,14,0,2
525,59,12,4,3,7,0,0
520,39,11,3.4615,10,7,0,4
520,36,14,8.6538,10,12,0,4
500,52,8,1.6,7,7,0,0
490,30,12,4.0816,12,12,0,1
489,49,8,0.6564,7,7,0,1
480,48,12,4.5375,3,3,0,2
480,55,12,5.2,7,7,0,0
480,52,12,3.3333,7,7,0,0
480,39,12,2.5,7,9,0,4
480,30,14,6.875,12,12,0,0
460,32,17,4.7826,7,7,2,0
456,34,12,1.0965,7,7,0,3
450,35,9,1.7778,3,7,0,3
450,51,13,5.5556,7,7,0,0
450,56,11,18.267,7,7,0,0
450,31,16,4,14,16,1,0
444,46,12,2.7027,10,16,0,0
420,32,12,0.4762,12,12,0,1
419,41,12,11.933,7,7,0,4
413,34,13,2.4213,12,12,0,2
400,36,12,1.625,12,7,1,2
394,45,12,1.599,7,7,0,0
384,36,14,1.6927,10,10,0,3
372,50,6,0.8602,12,7,0,0
360,33,13,1.3889,10,12,0,3
352,34,16,3.4091,12,12,0,2
346,42,12,5.8671,12,12,0,0
345,43,17,7.6522,12,14,0,2
340,37,12,1.1765,12,7,0,8
337,49,17,2.9674,3,3,0,0
336,31,12,0.7143,7,7,0,4
336,37,12,2.9762,10,7,0,3
320,47,12,6.25,7,7,0,0
320,50,11,1.0938,3,12,0,0
300,37,14,8.3333,7,7,0,5
300,45,16,2,16,7,0,1
293,43,12,3.0717,12,10,0,2
288,43,12,4.1667,12,12,0,3
288,34,12,3.2986,12,16,0,2
282,56,14,3.5461,7,7,0,0
270,35,13,1.4815,7,16,1,3
258,39,12,17.907,10,3,0,0
252,32,12,0.3571,7,7,0,2
240,30,12,2.6375,12,7,0,2
240,51,12,3.75,12,7,0,1
240,30,12,2.0833,16,16,1,2
239,41,12,9.9331,3,7,1,5
234,47,12,2.5641,12,3,0,1
225,40,17,1.7778,16,17,1,2
215,37,12,1.8605,10,7,0,3
215,31,17,9.3023,12,12,2,0
215,45,12,1.8605,12,12,0,0
210,46,16,2.1143,12,12,0,0
200,33,12,2.5,10,3,1,3
200,40,12,25,7,7,0,2
200,54,12,1.75,7,12,0,0
196,39,12,2.1429,12,7,0,2
180,33,12,1.6667,7,3,1,3
180,39,14,2.7778,12,12,0,3
160,36,16,4.0625,14,7,0,3
160,40,12,4.375,7,12,0,2
160,34,14,1.25,17,12,0,3
156,48,7,1.1987,3,7,0,3
156,51,16,7.6218,16,16,0,0
154,40,16,21.429,7,12,0,0
150,52,12,2,7,12,0,5
135,30,14,2.2222,10,12,2,1
120,33,12,3.3333,7,7,1,2
120,34,12,2.9167,12,7,0,0
120,36,12,25,12,10,1,3
120,33,12,1.6667,12,12,2,0
112,52,12,6.25,7,7,0,0
112,30,12,2.6786,12,12,1,2
108,50,17,0.6482,14,16,0,0
105,43,16,2.8571,7,7,1,0
96,59,16,3.6458,14,12,0,0
90,43,12,3.9333,7,7,0,1
90,32,15,1,10,12,2,2
80,30,12,1.25,12,12,0,0
75,46,12,1.6,3,7,0,0
72,46,17,6.9444,12,16,0,2
63,35,16,3.9683,14,7,1,2
60,32,11,1.6667,10,9,0,1
50,45,12,3.46,7,7,1,1
48,34,17,22.5,14,16,1,1
44,36,16,6.8182,12,10,1,2
30,60,14,1,12,17,0,0
15,40,12,7.0667,7,7,0,3
15,57,12,23.467,7,7,0,2
12,38,17,3.6667,12,10,1,3
0,33,13,0,7,,0,4
0,52,12,0,7,,0,2
0,37,13,0,7,,3,3
0,39,12,0,7,,2,6
0,53,12,0,,3,0,0
0,42,10,0,3,3,0,2
0,41,12,0,3,3,1,4
0,51,7,0,3,3,1,3
0,31,9,0,3,3,1,2
0,51,12,0,3,3,0,1
0,46,8,0,3,3,0,4
0,56,5,0,3,3,0,0
0,55,12,0,3,3,0,0
0,47,12,0,3,3,0,0
0,58,8,0,3,3,0,0
0,42,8,0,3,3,0,4
0,48,8,0,3,3,0,0
0,42,10,0,3,3,0,3
0,39,8,0,7,3,0,1
0,38,9,0,7,3,0,3
0,55,8,0,7,3,0,1
0,35,12,0,7,3,2,0
0,52,8,0,7,3,0,0
0,52,8,0,7,3,0,2
0,30,7,0,7,3,2,1
0,55,11,0,7,3,0,0
0,51,12,0,7,3,0,1
0,32,10,0,7,3,1,2
0,57,12,0,9,3,0,0
0,51,12,0,10,3,0,0
0,43,12,0,10,3,0,0
0,49,12,0,12,3,0,2
0,45,9,0,12,3,1,2
0,54,15,0,,7,0,3
0,56,10,0,,7,0,0
0,30,12,0,3,7,0,3
0,54,12,0,3,7,0,1
0,34,8,0,3,7,0,7
0,59,8,0,3,7,0,0
0,41,12,0,7,7,0,4
0,45,12,0,7,7,0,1
0,43,12,0,7,7,0,5
0,60,12,0,7,7,0,0
0,49,7,0,7,7,0,1
0,36,9,0,7,7,1,1
0,36,12,0,7,7,0,2
0,36,12,0,7,7,0,2
0,51,9,0,7,7,0,3
0,30,11,0,7,7,2,2
0,55,12,0,7,7,0,0
0,44,12,0,7,7,0,1
0,53,12,0,7,7,0,0
0,38,13,0,7,7,1,3
0,48,13,0,7,7,0,0
0,34,12,0,7,7,0,5
0,49,12,0,7,7,0,0
0,44,9,0,7,7,0,0
0,32,12,0,7,7,1,1
0,56,12,0,7,7,0,0
0,52,12,0,7,7,0,2
0,44,16,0,7,7,0,2
0,41,12,0,7,7,0,1
0,53,14,0,7,7,0,0
0,56,12,0,7,7,0,0
0,53,7,0,7,7,0,0
0,48,12,0,7,7,0,1
0,36,12,0,7,7,1,2
0,57,12,0,7,7,0,0
0,52,12,0,7,7,0,0
0,31,10,0,7,7,0,3
0,52,11,0,7,7,0,0
0,46,12,0,7,7,0,2
0,59,12,0,7,7,0,0
0,33,10,0,7,7,1,2
0,48,11,0,7,7,0,1
0,37,6,0,7,7,0,1
0,49,12,0,7,7,0,0
0,56,15,0,7,7,0,0
0,49,12,0,7,7,0,1
0,48,6,0,7,7,0,0
0,46,12,0,7,7,0,0
0,43,12,0,7,7,1,1
0,34,12,0,7,7,1,1
0,52,12,0,7,7,0,0
0,45,10,0,7,7,0,0
0,46,10,0,7,7,0,1
0,57,5,0,7,7,0,0
0,51,8,0,7,7,0,0
0,47,12,0,7,7,0,5
0,60,11,0,7,7,0,0
0,39,8,0,7,7,0,3
0,49,12,0,7,7,0,1
0,40,11,0,7,7,0,4
0,45,10,0,7,7,0,1
0,52,11,0,7,7,0,0
0,42,10,0,7,7,1,1
0,56,11,0,7,7,0,0
0,48,10,0,7,7,0,1
0,51,12,0,7,7,0,0
0,35,11,0,7,7,0,3
0,45,12,0,7,7,0,0
0,54,12,0,7,7,0,0
0,31,12,0,7,7,1,0
0,53,6,0,7,7,0,3
0,59,12,0,7,7,0,0
0,37,12,0,7,7,1,1
0,44,12,0,7,7,0,0
0,49,12,0,7,7,0,0
0,49,12,0,7,7,0,0
0,60,9,0,7,7,0,0
0,51,12,0,7,7,0,0
0,47,12,0,7,7,0,2
0,35,12,0,7,7,1,3
0,51,10,0,7,7,0,1
0,47,12,0,7,7,0,0
0,36,12,0,7,7,0,2
0,47,12,0,7,7,0,1
0,48,11,0,7,7,1,0
0,51,12,0,7,7,0,0
0,36,12,0,7,7,1,2
0,49,12,0,7,7,0,0
0,42,9,0,7,7,0,0
0,43,12,0,7,7,0,2
0,33,12,0,7,7,1,3
0,34,11,0,7,7,1,1
0,31,8,0,7,7,1,1
0,51,10,0,7,7,0,0
0,47,12,0,7,7,0,3
0,47,10,0,7,7,0,0
0,47,14,0,7,7,0,3
0,40,12,0,7,7,0,3
0,41,12,0,7,7,0,2
0,58,13,0,7,7,0,0
0,41,12,0,7,7,0,1
0,43,9,0,7,7,0,0
0,44,12,0,7,7,0,1
0,39,9,0,7,7,0,3
0,42,13,0,10,7,0,1
0,32,12,0,10,7,0,3
0,38,11,0,10,7,0,0
0,50,12,0,10,7,0,2
0,38,12,0,10,7,0,2
0,38,12,0,10,7,0,2
0,37,11,0,10,7,1,3
0,51,12,0,10,7,0,0
0,46,12,0,10,7,0,1
0,46,12,0,10,7,0,2
0,47,12,0,10,7,0,2
0,32,12,0,10,7,1,2
0,31,12,0,10,7,0,2
0,56,12,0,10,7,0,0
0,31,12,0,10,7,0,0
0,48,11,0,10,7,0,1
0,38,10,0,12,7,0,2
0,32,12,0,12,7,1,1
0,34,9,0,12,7,0,1
0,35,8,0,12,7,0,3
0,58,8,0,12,7,0,0
0,47,12,0,12,7,0,0
0,43,12,0,12,7,1,2
0,38,13,0,12,7,0,5
0,40,12,0,12,7,1,2
0,35,16,0,12,7,1,2
0,50,10,0,12,7,0,1
0,50,12,0,12,7,0,4
0,32,12,0,12,7,0,2
0,33,12,0,12,7,1,1
0,39,12,0,12,7,1,3
0,36,12,0,12,7,0,2
0,46,12,0,12,7,0,1
0,37,11,0,12,7,0,1
0,50,16,0,12,7,0,0
0,42,16,0,12,7,0,1
0,48,16,0,12,7,0,1
0,53,12,0,12,7,0,1
0,31,12,0,12,7,1,1
0,30,16,0,14,7,2,0
0,51,10,0,14,7,0,1
0,37,16,0,16,7,0,3
0,41,13,0,17,7,0,2
0,41,14,0,17,7,1,2
0,47,12,0,7,9,0,1
0,36,10,0,7,9,0,4
0,44,12,0,9,9,0,3
0,53,8,0,9,9,0,0
0,47,13,0,9,9,0,0
0,58,12,0,12,9,0,0
0,36,12,0,14,9,1,2
0,55,12,0,7,10,0,0
0,40,12,0,7,10,0,3
0,54,12,0,7,10,0,2
0,30,12,0,7,10,1,1
0,31,12,0,7,10,1,1
0,50,12,0,7,10,0,0
0,31,15,0,7,10,3,0
0,38,12,0,7,10,0,3
0,32,12,0,7,10,1,3
0,48,11,0,7,10,0,0
0,44,14,0,10,10,2,3
0,53,12,0,10,10,0,0
0,33,12,0,10,10,2,0
0,51,10,0,10,10,0,1
0,42,11,0,10,10,1,4
0,53,12,0,10,10,0,0
0,36,10,0,10,10,2,1
0,30,12,0,10,10,1,1
0,49,10,0,10,10,0,0
0,41,12,0,10,10,1,3
0,54,12,0,10,10,0,2
0,43,10,0,10,10,0,2
0,37,9,0,10,10,1,3
0,45,12,0,10,10,0,2
0,30,12,0,10,10,2,0
0,40,13,0,10,10,0,2
0,47,12,0,12,10,0,0
0,33,13,0,12,10,2,1
0,47,12,0,12,10,0,3
0,42,12,0,12,10,0,1
0,44,12,0,12,10,0,4
0,30,12,0,12,10,0,0
0,52,16,0,12,10,0,2
0,30,12,0,12,10,1,1
0,43,13,0,12,10,1,1
0,30,14,0,12,10,1,1
0,54,12,0,16,10,0,0
0,35,14,0,3,12,1,2
0,52,12,0,3,12,0,0
0,36,16,0,7,12,0,3
0,30,12,0,7,12,1,0
0,53,13,0,7,12,0,0
0,44,11,0,7,12,1,1
0,48,12,0,7,12,0,1
0,40,11,0,7,12,0,2
0,43,12,0,7,12,0,1
0,57,16,0,7,12,0,0
0,37,12,0,7,12,0,1
0,36,12,0,7,12,0,2
0,38,17,0,10,12,0,2
0,49,12,0,10,12,0,1
0,50,12,0,10,12,0,2
0,48,9,0,10,12,1,1
0,30,12,0,12,12,1,0
0,56,12,0,12,12,0,0
0,45,12,0,12,12,0,1
0,30,17,0,12,12,2,0
0,34,12,0,12,12,2,3
0,30,17,0,12,12,2,0
0,54,14,0,12,12,0,0
0,30,12,0,12,12,1,2
0,33,12,0,12,12,1,2
0,44,14,0,12,12,0,0
0,50,12,0,12,12,0,0
0,33,16,0,12,12,0,0
0,53,14,0,12,12,0,0
0,36,14,0,12,12,1,0
0,31,16,0,12,12,1,0
0,31,14,0,12,12,0,2
0,32,12,0,12,12,1,1
0,36,12,0,12,12,1,1
0,42,13,0,12,12,0,1
0,50,12,0,12,12,0,1
0,30,12,0,12,12,2,2
0,45,12,0,12,12,0,2
0,34,12,0,12,12,1,1
0,47,12,0,12,12,0,0
0,31,16,0,12,12,2,1
0,44,12,0,12,12,0,3
0,32,15,0,12,12,1,1
0,33,12,0,12,12,1,3
0,30,12,0,12,12,1,2
0,44,12,0,12,12,0,1
0,40,12,0,12,12,1,3
0,46,12,0,12,12,1,4
0,34,17,0,12,12,1,2
0,36,12,0,12,12,0,4
0,30,16,0,12,12,1,1
0,55,16,0,12,12,0,0
0,32,15,0,12,12,0,1
0,54,12,0,12,12,0,0
0,35,12,0,12,12,1,3
0,43,14,0,12,12,0,2
0,31,12,0,12,12,2,3
0,60,12,0,12,12,0,0
0,49,12,0,14,12,0,1
0,45,12,0,14,12,0,1
0,45,14,0,14,12,0,1
0,41,14,0,14,12,1,3
0,47,17,0,14,12,1,3
0,44,10,0,7,14,0,1
0,33,11,0,7,14,0,3
0,42,9,0,7,14,0,2
0,41,12,0,7,14,0,3
0,37,14,0,10,14,0,2
0,45,12,0,10,14,0,2
0,48,15,0,10,14,0,1
0,43,11,0,12,14,0,3
0,32,12,0,12,14,0,2
0,31,12,0,12,14,1,1
0,38,12,0,14,14,0,3
0,30,12,0,14,14,1,1
0,35,14,0,16,14,2,2
0,60,14,0,16,14,0,0
0,41,12,0,3,16,1,2
0,43,12,0,3,16,0,2
0,31,13,0,12,16,3,1
0,56,12,0,12,16,0,1
0,38,17,0,12,16,2,0
0,36,12,0,12,16,1,3
0,38,13,0,12,16,0,5
0,54,15,0,14,16,0,0
0,49,12,0,16,16,0,0
0,33,16,0,16,16,1,1
0,31,14,0,16,16,1,2
0,34,12,0,12,17,1,0
0,32,13,0,12,17,2,0
0,41,15,0,14,17,0,4
0,54,16,0,16,17,0,0
0,48,17,0,16,17,0,1
0,41,16,0,16,17,0,2
0,36,8,0,,,0,1
0,54,7,0,,,0,0
0,54,8,0,,,0,0
0,47,7,0,,,1,1
0,49,5,0,,,0,2
0,53,12,0,,,0,1
